lat	lon	title	icon	iconSize	iconOffset	description
30.0	-90.0	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 28906	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=28906' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 28906</button></a><br/>30.00&deg;N -90.00&deg;E<br/>Provider: University of Washington - APL</div>
30.0	-90.0	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 28907	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=28907' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 28907</button></a><br/>30.00&deg;N -90.00&deg;E<br/>Provider: University of Washington - APL</div>
25.888	-89.658	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42001	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42001' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42001</button></a><br/>25.89&deg;N -89.66&deg;E<br/>Provider: NDBC</div>
25.79	-93.666	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42002	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42002' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42002</button></a><br/>25.79&deg;N -93.67&deg;E<br/>Provider: NDBC</div>
26.044	-85.612	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42003	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42003' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42003</button></a><br/>26.04&deg;N -85.61&deg;E<br/>Provider: NDBC</div>
30.065	-87.555	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42014	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42014' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42014</button></a><br/>30.07&deg;N -87.56&deg;E<br/>Provider: NDBC</div>
27.913	-95.353	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42019	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42019' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42019</button></a><br/>27.91&deg;N -95.35&deg;E<br/>Provider: NDBC</div>
26.968	-96.694	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42020	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42020' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42020</button></a><br/>26.97&deg;N -96.69&deg;E<br/>Provider: NDBC</div>
29.232	-94.413	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42035	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42035' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42035</button></a><br/>29.23&deg;N -94.41&deg;E<br/>Provider: NDBC</div>
28.5	-84.517	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42036	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42036' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42036</button></a><br/>28.50&deg;N -84.52&deg;E<br/>Provider: NDBC</div>
28.794	-86.006	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42039	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42039' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42039</button></a><br/>28.79&deg;N -86.01&deg;E<br/>Provider: NDBC</div>
29.212	-88.207	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42040	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42040' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42040</button></a><br/>29.21&deg;N -88.21&deg;E<br/>Provider: NDBC</div>
28.982	-94.919	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42043	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42043' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42043</button></a><br/>28.98&deg;N -94.92&deg;E<br/>Provider: TABS</div>
26.191	-97.051	<img src='/static/datafactory/img/transmit.png' style='padding-right: 5px' alt='view a station'/>NDBC - 42044	http://labs.google.com/ridefinder/images/mm_20_purple.png	12,20	-10,-25	<div class='well' style='font-size: 11px; padding:5px;'><a href='http://www.ndbc.noaa.gov/station_page.php?station=42044' target='_blank'><button class='btn btn-info' style='font-size: 11px;'>NDBC - 42044</button></a><br/>26.19&deg;N -97.05&deg;E<br/>Provider: TABS</div>
